Last Name,First Name,Preferred Name,Preferred Pronoun,SF ID #,Program Code,Phone,Email
Minion,Bob,Bob,he/him,2211-4456,1002,910-432-8765,bob.minion@go.sfcollege.edu
Nichols,James,James,,1234-5678,1030,352-395-5220,james.nichols@sfcollege.edu
Person,Punny,,,9999-1111,3504,352-123-4567,punny.person@go.sfcollege.edu
Person,Punny2,,,9999-1112,3840,352-123-6792,punny2.person@go.sfcollege.edu
Person,Punny3,,,9999-1113,3841,352-123-3420,punny3.person@go.sfcollege.edu
Smart,Maxwell,Max,,9922-4029,3842,310-2910,agent.smart@go.sfcollege.edu
Tree,Groot,Groot,,1122-3344,3650,361-1234-5678,groot.tree@go.sfcollege.edu
Washington,George,George,,1001-1001,3651,361-1234-5679,George.Washington@go.sfcollege.edu
Adams,John,John,,1001-1002,1119,361-1234-5680,John.Adams@go.sfcollege.edu
Jefferson,Thomas,Thomas,,1001-1003,6625,361-1234-5681,Thomas.Jefferson@go.sfcollege.edu
Madison,James,James,,1001-1004,6635,361-1234-5682,James.Madison@go.sfcollege.edu
Monroe,James,James,,1001-1005,6645,361-1234-5683,James.Monroe@go.sfcollege.edu
Quincy Adams,John,John,,1001-1006,6623,361-1234-5684,John.Quincy Adams@go.sfcollege.edu
Jackson,Andrew,Andrew,,1001-1007,6650,361-1234-5685,Andrew.Jackson@go.sfcollege.edu
Van Buren,Martin,Martin,,1001-1008,6651,361-1234-5686,Martin.Van Buren@go.sfcollege.edu
Henry Harrison,William,William,,1001-1009,6652,361-1234-5687,William.Henry Harrison@go.sfcollege.edu
Tyler,John,John,,1001-1010,3624,361-1234-5688,John.Tyler@go.sfcollege.edu
K. Polk,James,James,,1001-1011,3520,361-1234-5689,James.K. Polk@go.sfcollege.edu
Taylor,Zachary,Zachary,,1001-1012,3330,361-1234-5690,Zachary.Taylor@go.sfcollege.edu
Fillmore,Millard,Millard,,1001-1013,3330,361-1234-5691,Millard.Fillmore@go.sfcollege.edu
Pierce,Franklin,Franklin,,1001-1014,3520,361-1234-5692,Franklin.Pierce@go.sfcollege.edu
Buchanan,James,James,,1001-1015,3624,361-1234-5693,James.Buchanan@go.sfcollege.edu
Lincoln,Abraham,Abraham,,1001-1016,6652,361-1234-5694,Abraham.Lincoln@go.sfcollege.edu
Johnson,Andrew,Andrew,,1001-1017,6651,361-1234-5695,Andrew.Johnson@go.sfcollege.edu
S. Grant,Ulysses,Ulysses,,1001-1018,6650,361-1234-5696,Ulysses.S. Grant@go.sfcollege.edu
B. Hayes,Rutherford,Rutherford,,1001-1019,6623,361-1234-5697,Rutherford.B. Hayes@go.sfcollege.edu
A. Garfield,James,James,,1001-1020,6645,361-1234-5698,James.A. Garfield@go.sfcollege.edu
A. Arthur,Chester,Chester,,1001-1021,6635,361-1234-5699,Chester.A. Arthur@go.sfcollege.edu
Cleveland,Grover,Grover,,1001-1022,6625,361-1234-5700,Grover.Cleveland@go.sfcollege.edu
Harrison,Benjamin,Benjamin,,1001-1023,1119,361-1234-5701,Benjamin.Harrison@go.sfcollege.edu
Cleveland (2nd term),Grover,Grover,,1001-1024,3651,361-1234-5702,Grover.Cleveland (2nd term)@go.sfcollege.edu
McKinley,William,William,,1001-1025,3650,361-1234-5703,William.McKinley@go.sfcollege.edu
Roosevelt,Theodore,Theodore,,1001-1026,3842,361-1234-5704,Theodore.Roosevelt@go.sfcollege.edu
Howard Taft,William,William,,1001-1027,3841,361-1234-5705,William.Howard Taft@go.sfcollege.edu
Wilson,Woodrow,Woodrow,,1001-1028,3840,361-1234-5706,Woodrow.Wilson@go.sfcollege.edu
G. Harding,Warren,Warren,,1001-1029,3504,361-1234-5707,Warren.G. Harding@go.sfcollege.edu
Coolidge,Calvin,Calvin,,1001-1030,1030,361-1234-5708,Calvin.Coolidge@go.sfcollege.edu
Hoover,Herbert,Herbert,,1001-1031,1002,361-1234-5709,Herbert.Hoover@go.sfcollege.edu
D. Roosevelt,Franklin,Franklin,,1001-1032,1002,361-1234-5710,Franklin.D. Roosevelt@go.sfcollege.edu
S. Truman,Harry,Harry,,1001-1033,1030,361-1234-5711,Harry.S. Truman@go.sfcollege.edu
D. Eisenhower,Dwight,Dwight,,1001-1034,1119,361-1234-5712,Dwight.D. Eisenhower@go.sfcollege.edu
F. Kennedy,John,John,,1001-1035,3330,361-1234-5713,John.F. Kennedy@go.sfcollege.edu
B. Johnson,Lyndon,Lyndon,,1001-1036,3504,361-1234-5714,Lyndon.B. Johnson@go.sfcollege.edu
Nixon,Richard,Richard,,1001-1037,3520,361-1234-5715,Richard.Nixon@go.sfcollege.edu
ABELE,STEVEN,Gerald,,1001-1038,3624,361-1234-5716,STEVEN.ABELE@go.sfcollege.edu
ACOSTA,TONY,Jimmy,,1001-1039,3650,361-1234-5717,TONY.ACOSTA@go.sfcollege.edu
ADAMS,MALCOLM,Ronald,,1001-1040,3651,361-1234-5718,MALCOLM.ADAMS@go.sfcollege.edu
ADDISON,TRAVIS,George,,1001-1041,3840,361-1234-5719,TRAVIS.ADDISON@go.sfcollege.edu
ALBRITTON,KOB'IE,Bill,,1001-1042,3841,361-1234-5720,KOB'IE.ALBRITTON@go.sfcollege.edu
ALCONADA,ALEX,George,,1001-1043,3842,361-1234-5721,ALEX.ALCONADA@go.sfcollege.edu
ALLEN,DANIEL,Barack,,1001-1044,6623,361-1234-5722,DANIEL.ALLEN@go.sfcollege.edu
ALLEN,XAVIER,XAVIER,,1001-1045,6625,361-1234-5723,XAVIER.ALLEN@go.sfcollege.edu
ALLEN,MICHAEL,MICHAEL,,1001-1046,6635,361-1234-5724,MICHAEL.ALLEN@go.sfcollege.edu
AMBURGEY,MAREENA,MAREENA,,1001-1047,6645,361-1234-5725,MAREENA.AMBURGEY@go.sfcollege.edu
ANDERSON,MANUEL,MANUEL,,1001-1048,6650,361-1234-5726,MANUEL.ANDERSON@go.sfcollege.edu
ANDERSON,GREGORIO,GREGORIO,,1001-1049,6651,361-1234-5727,GREGORIO.ANDERSON@go.sfcollege.edu
ANDERSON,KEYSHAWN,KEYSHAWN,,1001-1050,6652,361-1234-5728,KEYSHAWN.ANDERSON@go.sfcollege.edu
ANDREWS,DEMARI,DEMARI,,1001-1051,1030,361-1234-5729,DEMARI.ANDREWS@go.sfcollege.edu
ANTHONY,MEEKA,MEEKA,,1001-1052,3504,361-1234-5730,MEEKA.ANTHONY@go.sfcollege.edu
ARCHER,PRESTON,PRESTON,,1001-1053,6625,361-1234-5731,PRESTON.ARCHER@go.sfcollege.edu
ARNAU,RICKEY,RICKEY,,1001-1054,6635,361-1234-5732,RICKEY.ARNAU@go.sfcollege.edu
ARRINGTON,ROBERTO,ROBERTO,,1001-1055,1002,361-1234-5733,ROBERTO.ARRINGTON@go.sfcollege.edu
ARTIS,JAMES,JAMES,,1001-1056,1119,361-1234-5734,JAMES.ARTIS@go.sfcollege.edu
ASBELL,CLARENCE,CLARENCE,,1001-1057,3520,361-1234-5735,CLARENCE.ASBELL@go.sfcollege.edu
AVILES,THERIYUS,THERIYUS,,1001-1058,3330,361-1234-5736,THERIYUS.AVILES@go.sfcollege.edu
AYALA,TOMMY,TOMMY,,1001-1059,6645,361-1234-5737,TOMMY.AYALA@go.sfcollege.edu
BADILLO,DWAYNE,DWAYNE,,1001-1060,6623,361-1234-5738,DWAYNE.BADILLO@go.sfcollege.edu
